#一级类目	category_i	attribute_i	weight 
实物电商	零售电商	商业模式	0.8
实物电商	零售电商	垂直品类	0.8
实物电商	零售电商	推荐搜索	0.8
实物电商	零售电商	使用人群-职业	0.8
实物电商	零售电商	使用人群-性别	0.8
实物电商	零售电商	是否跨境	0.6
实物电商	零售电商	低频高频	0.6
实物电商	零售电商	客单价	0.6
实物电商	零售电商	使用人群-城市	0.6
实物电商	零售电商	使用人群-年龄	0.6
实物电商	零售电商	使用人群-收入	0.6
B2B	B2B	商业模式	1
B2B	B2B	商品类型	0.8
B2B	B2B	行业	0.8
生活服务	餐饮	类型	0.8
生活服务	餐饮	档次	0.6
生活服务	餐饮	生产人	0.6
生活服务	餐饮	商业模式	0.6
生活服务	本地零售	商业模式	0.8
生活服务	本地零售	主要服务场景	0.8
生活服务	本地零售	是否配送	0.8
生活服务	本地零售	服务类型	0.8
生活服务	本地零售	服务对象	0.6
生活服务	其他本地生活	商业模式	0.8
生活服务	其他本地生活	服务类型	0.8
生活服务	其他本地生活	服务地点	0.6
生活服务	其他本地生活	服务提供者	0.6
生活服务	其他本地生活	是否配送	0.6
交通物流仓储	物流	交通工具	1
交通物流仓储	物流	距离	1
交通物流仓储	物流	服务对象	0.8
交通物流仓储	物流	送货人	0.8
交通物流仓储	物流	货物品类	0.8
文娱内容游戏	文娱内容媒体	产品形态	0.8
文娱内容游戏	文娱内容媒体	垂直品类	1
文娱内容游戏	文娱内容媒体	盈利模式	0.8
体育健身	体育赛事	垂直品类	0.8
体育健身	运动健身	产品形态	1
体育健身	第三方服务	服务类型	0.8
企业服务	业务层-垂直型	行业	1
企业服务	业务层-通用型	职能	1
企业服务	开发者服务	产品	0.8
社区/社交	社区/社交	关系	1
社区/社交	社区/社交	人群	1
社区/社交	社区/社交	主题	0.8
金融	企业债权	抵押物/借款依据	0.8
金融	企业债权	债务方	0.6
金融	企业债权	债权方	0.6
金融	个人债权	场景	0.8
金融	个人债权	受众人群	0.8
金融	股权	市场阶段	0.8
金融	股权	商业模式	0.8
金融	股权	人群	0.6
金融	理财	商业模式	0.8
金融	理财	服务对象	0.8
金融	理财	资产端	0.6
金融	保险	产业环节	1
金融	保险	商业模式	0.8
金融	保险	险种	0.8
金融	基础设施	服务领域	1
金融	金融机构服务	服务对象	1
房产	房产	地点	1
房产	房产	商业模式	0.8
房产	房产	类型	0.8
房产	房产	服务对象	0.8
房产	房产	功能	0.8
汽车	后服务	服务类型	1
汽车	后服务	服务地点	0.8
汽车	后服务	提供者	0.8
汽车	后服务	商业模式	0.8
汽车	周边电商	商品类别	1
汽车	周边电商	服务对象	0.8
汽车	二手车	商业模式	1
汽车	新车	商业模式	1
汽车	新车	车种	0.8
汽车	汽车媒体	商业模式	1
汽车	汽车媒体	车种	0.8
教育培训	早教	商业模式	0.8
教育培训	幼儿园	商业模式	0.8
教育培训	K12	商业模式	0.8
教育培训	K12	类型	0.8
教育培训	K12	人群	0.6
教育培训	兴趣	类型	1
教育培训	职业技能培训	培训内容	1
教育培训	留学服务	类型	1
医疗	医疗机构服务	类型	0.8
医疗	医疗机构服务	服务内容	0.6
医疗	专业人士服务	类型	0.8
医疗	专业人士服务	服务内容	0.6
医疗	大众服务	服务内容	0.8
医疗	大众服务	科室	0.6
高科技	智能硬件	行业	0.8
高科技	VR	类别	0.8
高科技	VR	硬件类型	0.6
高科技	VR	内容类型/场景	0.6
高科技	VR	软件类型	0.6
旅游	旅游	商业模式	0.8
旅游	旅游	档次	0.8
旅游	旅游	产品	0.6
旅游	旅游	出行方式	0.6
旅游	旅游	目的地	0.6
农业	农业产前	类型	0.6
农业	农业产前	模式	1
农业	农业产前	服务对象	0.8
农业	农业产中	类型	0.6
农业	农业产中	模式	1
农业	农业产中	服务对象	0.8
农业	农业产后	类型	0.6
农业	农业产后	模式	1
农业	农业产后	服务对象	0.8
农业	全产业链	类型	0.6
农业	全产业链	模式	1
农业	全产业链	服务对象	0.8